#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
58	 19 	 HO 	 OH 	 1.96683077466028e-05 	 1.96683077466028e-05
58	 7 	 CO 	 OC 	 0.0003463617504805649 	 0.0003463617504805649
58	 23 	 HF2 	 HF2 	 0.0030715187636375955 	 0.0030715187636375955
58	 0 	 H2 	 H2 	 1.1558071664951445e-06 	 1.1558071664951445e-06
58	 22 	 CH4O 	 CH4O 	 0.00027266848793129395 	 0.00027266848793129395
58	 21 	 HN2O 	 HON2 	 0.004896484236017831 	 0.004896484236017831
58	 13 	 O3 	 O3 	 0.004457737256356766 	 0.004457737256356766
58	 10 	 NO 	 NO 	 9.984195142523074e-05 	 9.984195142523074e-05
58	 18 	 H3N 	 NH3 	 0.0007409955094071787 	 0.0007409955094071787
58	 24 	 C 	 C 	 4.894553808477951e-05 	 4.894553808477951e-05
58	 6 	 C2H2 	 C2H2 	 0.00012121413110118208 	 0.00012121413110118208
58	 12 	 HN 	 NH 	 0.0013044250730601373 	 0.0013044250730601373
58	 9 	 Na2 	 Na2 	 1.8309518608779517e-05 	 1.8309518608779517e-05
58	 4 	 CO2 	 CO2 	 0.006589493528552549 	 0.006589493528552549
58	 25 	 Li 	 Li 	 4.591868493937746e-05 	 4.591868493937746e-05
58	 3 	 CHN 	 CNH 	 0.003111793493417214 	 0.003111793493417214
58	 15 	 CH3 	 CH3 	 3.689283425956288e-05 	 3.689283425956288e-05
58	 20 	 CH 	 CH 	 1.8121249831440378e-06 	 1.8121249831440378e-06
59	 21 	 HN2O 	 HON2 	 0.004929308377173372 	 0.004929308377173372
59	 14 	 N2O 	 N2O 	 0.003827824122891662 	 0.003827824122891662
59	 3 	 CHN 	 CNH 	 0.0030979621556775153 	 0.0030979621556775153
59	 8 	 HLi 	 LiH 	 1.8277253473132954e-07 	 1.8277253473132954e-07
59	 15 	 CH3 	 CH3 	 3.7490862423086215e-05 	 3.7490862423086215e-05
59	 4 	 CO2 	 CO2 	 0.00652003307435643 	 0.00652003307435643
59	 7 	 CO 	 OC 	 0.0003366452121745452 	 0.0003366452121745452
59	 23 	 HF2 	 HF2 	 0.0030968206056453586 	 0.0030968206056453586
59	 11 	 NO2 	 NO2 	 0.004960995589865894 	 0.004960995589865894
59	 9 	 Na2 	 Na2 	 1.8428038736361568e-05 	 1.8428038736361568e-05
59	 16 	 CH2 	 CH2 	 0.00332987226044058 	 0.00332987226044058
59	 0 	 H2 	 H2 	 1.0087010001794992e-06 	 1.0087010001794992e-06
59	 1 	 N2 	 N2 	 3.6451554371123694e-06 	 3.6451554371123694e-06
59	 22 	 CH4O 	 CH4O 	 0.0002769473660139998 	 0.0002769473660139998
59	 18 	 H3N 	 NH3 	 0.000749086486812978 	 0.000749086486812978
59	 2 	 FLi 	 LiF 	 0.00689698837130302 	 0.00689698837130302
59	 19 	 HO 	 OH 	 1.9669297544298066e-05 	 1.9669297544298066e-05
59	 12 	 HN 	 NH 	 0.0013318798781115442 	 0.0013318798781115442
59	 13 	 O3 	 O3 	 0.0046541568919855605 	 0.0046541568919855605
59	 25 	 Li 	 Li 	 4.782374827498151e-05 	 4.782374827498151e-05
59	 24 	 C 	 C 	 5.139691875749898e-05 	 5.139691875749898e-05
59	 10 	 NO 	 NO 	 0.00010704407633573316 	 0.00010704407633573316
59	 17 	 H2O 	 OH2 	 0.0003121396686083343 	 0.0003121396686083343
59	 6 	 C2H2 	 C2H2 	 0.00011172077326033721 	 0.00011172077326033721
59	 5 	 F2 	 F2 	 0.00026860660085644404 	 0.00026860660085644404
59	 20 	 CH 	 CH 	 1.8686623533182744e-06 	 1.8686623533182744e-06
60	 11 	 NO2 	 NO2 	 0.005042502777704453 	 0.005042502777704453
60	 17 	 H2O 	 OH2 	 0.0003127992915247557 	 0.0003127992915247557
60	 22 	 CH4O 	 CH4O 	 0.000278706209597769 	 0.000278706209597769
60	 3 	 CHN 	 CNH 	 0.0030421372526002305 	 0.0030421372526002305
60	 0 	 H2 	 H2 	 1.3047803608865387e-06 	 1.3047803608865387e-06
60	 14 	 N2O 	 N2O 	 0.003952380645953086 	 0.003952380645953086
60	 1 	 N2 	 N2 	 3.832778096083319e-06 	 3.832778096083319e-06
60	 19 	 HO 	 OH 	 1.9731678053469547e-05 	 1.9731678053469547e-05
60	 4 	 CO2 	 CO2 	 0.006367072105430792 	 0.006367072105430792
60	 9 	 Na2 	 Na2 	 1.9248978918261552e-05 	 1.9248978918261552e-05
60	 20 	 CH 	 CH 	 1.9042016468650834e-06 	 1.9042016468650834e-06
60	 16 	 CH2 	 CH2 	 0.0033714273398541077 	 0.0033714273398541077
60	 15 	 CH3 	 CH3 	 4.31106795177951e-05 	 4.31106795177951e-05
60	 25 	 Li 	 Li 	 4.524328021346056e-05 	 4.524328021346056e-05
60	 8 	 HLi 	 LiH 	 1.6840788357914947e-07 	 1.6840788357914947e-07
60	 6 	 C2H2 	 C2H2 	 0.00010729218668842607 	 0.00010729218668842607
60	 18 	 H3N 	 NH3 	 0.0007707994268492524 	 0.0007707994268492524
60	 23 	 HF2 	 HF2 	 0.0031478079622679705 	 0.0031478079622679705
60	 21 	 HN2O 	 HON2 	 0.0051162951169579285 	 0.0051162951169579285
60	 5 	 F2 	 F2 	 0.00027749960442718984 	 0.00027749960442718984
60	 13 	 O3 	 O3 	 0.004850151827520214 	 0.004850151827520214
60	 10 	 NO 	 NO 	 0.00011257814821732701 	 0.00011257814821732701
60	 7 	 CO 	 OC 	 0.00031735220352048754 	 0.00031735220352048754
60	 2 	 FLi 	 LiF 	 0.0068391046475064846 	 0.0068391046475064846
60	 24 	 C 	 C 	 5.418676717415382e-05 	 5.418676717415382e-05
60	 12 	 HN 	 NH 	 0.0013772790203336973 	 0.0013772790203336973
61	 12 	 HN 	 NH 	 0.0013775611095775554 	 0.0013775611095775554
61	 22 	 CH4O 	 CH4O 	 0.0002822474807563347 	 0.0002822474807563347
61	 6 	 C2H2 	 C2H2 	 0.00010595928871222585 	 0.00010595928871222585
61	 11 	 NO2 	 NO2 	 0.005170514559865005 	 0.005170514559865005
61	 7 	 CO 	 OC 	 0.00031660348817199295 	 0.00031660348817199295
61	 3 	 CHN 	 CNH 	 0.00299558730716184 	 0.00299558730716184
61	 24 	 C 	 C 	 5.399923002541026e-05 	 5.399923002541026e-05
61	 21 	 HN2O 	 HON2 	 0.005128524325966811 	 0.005128524325966811
61	 15 	 CH3 	 CH3 	 4.4268510083261325e-05 	 4.4268510083261325e-05
61	 14 	 N2O 	 N2O 	 0.004056353389963195 	 0.004056353389963195
61	 23 	 HF2 	 HF2 	 0.003152322752045555 	 0.003152322752045555
61	 2 	 FLi 	 LiF 	 0.006834255458223966 	 0.006834255458223966
61	 17 	 H2O 	 OH2 	 0.0003103515799735556 	 0.0003103515799735556
61	 18 	 H3N 	 NH3 	 0.0007704700220011836 	 0.0007704700220011836
61	 5 	 F2 	 F2 	 0.00027919880771948204 	 0.00027919880771948204
61	 10 	 NO 	 NO 	 0.00011290834903537478 	 0.00011290834903537478
61	 8 	 HLi 	 LiH 	 2.147621372825491e-07 	 2.147621372825491e-07
61	 20 	 CH 	 CH 	 1.8604132134961004e-06 	 1.8604132134961004e-06
61	 16 	 CH2 	 CH2 	 0.003383013221082506 	 0.003383013221082506
