#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
28	 23 	 HF2 	 HF2 	 0.0015709635923505589 	 0.0015709635923505589
28	 3 	 CHN 	 CNH 	 0.00529590406447272 	 0.00529590406447272
28	 11 	 NO2 	 NO2 	 0.002380797120283481 	 0.002380797120283481
28	 10 	 NO 	 NO 	 2.1664709471031506e-05 	 2.1664709471031506e-05
28	 14 	 N2O 	 N2O 	 0.0016488902610955773 	 0.0016488902610955773
28	 16 	 CH2 	 CH2 	 0.0019136849040466961 	 0.0019136849040466961
29	 11 	 NO2 	 NO2 	 0.0023290377499561987 	 0.0023290377499561987
29	 0 	 H2 	 H2 	 5.017651042857547e-06 	 5.017651042857547e-06
29	 18 	 H3N 	 NH3 	 7.603821614646087e-05 	 7.603821614646087e-05
29	 10 	 NO 	 NO 	 1.8912756357984834e-05 	 1.8912756357984834e-05
29	 17 	 H2O 	 OH2 	 4.6482967778882525e-05 	 4.6482967778882525e-05
29	 13 	 O3 	 O3 	 0.0016740949112431442 	 0.0016740949112431442
29	 6 	 C2H2 	 C2H2 	 0.00022961370971584673 	 0.00022961370971584673
29	 21 	 HN2O 	 HON2 	 0.0024668502612614934 	 0.0024668502612614934
29	 9 	 Na2 	 Na2 	 1.7895984350570497e-06 	 1.7895984350570497e-06
29	 14 	 N2O 	 N2O 	 0.0014667540973101261 	 0.0014667540973101261
29	 20 	 CH 	 CH 	 6.246737312533313e-09 	 6.246737312533313e-09
29	 24 	 C 	 C 	 9.614580485666431e-07 	 9.614580485666431e-07
29	 22 	 CH4O 	 CH4O 	 0.00012770022534983668 	 0.00012770022534983668
29	 12 	 HN 	 NH 	 0.0005225021488749779 	 0.0005225021488749779
29	 23 	 HF2 	 HF2 	 0.00151254158308874 	 0.00151254158308874
29	 3 	 CHN 	 CNH 	 0.005290278489832324 	 0.005290278489832324
29	 7 	 CO 	 OC 	 0.0006713979128586346 	 0.0006713979128586346
29	 4 	 CO2 	 CO2 	 0.010536659372748971 	 0.010536659372748971
29	 2 	 FLi 	 LiF 	 0.00786886238038449 	 0.00786886238038449
29	 8 	 HLi 	 LiH 	 4.290270272628362e-06 	 4.290270272628362e-06
29	 15 	 CH3 	 CH3 	 7.417939650376287e-05 	 7.417939650376287e-05
29	 19 	 HO 	 OH 	 2.8338327741647235e-07 	 2.8338327741647235e-07
29	 16 	 CH2 	 CH2 	 0.0018766437417765023 	 0.0018766437417765023
29	 25 	 Li 	 Li 	 1.8128553653021985e-05 	 1.8128553653021985e-05
29	 5 	 F2 	 F2 	 5.7715412986131416e-05 	 5.7715412986131416e-05
29	 1 	 N2 	 N2 	 1.497425644959783e-05 	 1.497425644959783e-05
30	 21 	 HN2O 	 HON2 	 0.0024650955113201278 	 0.0024650955113201278
30	 16 	 CH2 	 CH2 	 0.0018746947055638516 	 0.0018746947055638516
30	 13 	 O3 	 O3 	 0.0016124785375298558 	 0.0016124785375298558
30	 0 	 H2 	 H2 	 8.006314032936707e-06 	 8.006314032936707e-06
30	 19 	 HO 	 OH 	 2.554284425686567e-07 	 2.554284425686567e-07
30	 12 	 HN 	 NH 	 0.0005391298299539057 	 0.0005391298299539057
