#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
54	 1 	 N2 	 N2 	 1.3612955380441017e-06 	 1.3612955380441017e-06
54	 4 	 CO2 	 CO2 	 0.006944252219039142 	 0.006944252219039142
54	 9 	 Na2 	 Na2 	 8.989353601202809e-08 	 8.989353601202809e-08
54	 0 	 H2 	 H2 	 1.3237965219930763e-07 	 1.3237965219930763e-07
54	 25 	 Li 	 Li 	 4.264711287155287e-05 	 4.264711287155287e-05
54	 23 	 HF2 	 HF2 	 0.0026876619148788225 	 0.0026876619148788225
54	 15 	 CH3 	 CH3 	 1.9971848494003942e-05 	 1.9971848494003942e-05
54	 11 	 NO2 	 NO2 	 0.00506977039143685 	 0.00506977039143685
54	 6 	 C2H2 	 C2H2 	 0.0001345712534445943 	 0.0001345712534445943
54	 14 	 N2O 	 N2O 	 0.004027548638446285 	 0.004027548638446285
54	 21 	 HN2O 	 HON2 	 0.004654041125542605 	 0.004654041125542605
54	 5 	 F2 	 F2 	 0.00021795406830027857 	 0.00021795406830027857
